# IncludedObjects
# Cgfs: 5, Materials: 0, Palettes: 1, Placements: 56

[CGFs]
      0: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
      1: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
      2: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
      3: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_48x48x01_a.cgf
      4: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_c.cgf

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/default

[Placements]
  #0 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
  #5 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_48x48x01_a.cgf
    [1, 0, 0, -59]
    [0, 1, 0, -38]
    [0, 0, 1, -1]
  #6 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, -18]
    [0, 0, 0.99999997718097322, -1]
  #7 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-0.99999999999999867, 8.9816616366533602E-08, 0, -39]
    [-8.9816616366533602E-08, -0.99999999999999867, 0, 14]
    [0, 0, 1.0000000000000027, -1]
  #8 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -55]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, -42]
    [-0, 0, 1, -1]
  #9 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-1.3435885786000428E-07, 0.99999997718096412, 0, -63]
    [-0.99999997718096412, -1.3435885786000428E-07, -0, -34]
    [-0, 0, 0.99999997718097322, -1]
  #10 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, -34]
    [0, 0, 0.99999997718097322, -1]
  #11 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, 6]
    [0, 0, 0.99999997718097322, -1]
  #12 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_c.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -39]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, -42]
    [-0, 0, 1, -1]
  #13 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-0.99999999999999867, 8.9816616366533602E-08, 0, -15]
    [-8.9816616366533602E-08, -0.99999999999999867, 0, 14]
    [0, 0, 1.0000000000000027, -1]
  #14 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-0.99999999999999867, 8.9816616366533602E-08, 0, -15]
    [-8.9816616366533602E-08, -0.99999999999999867, 0, 14]
    [0, 0, 1.0000000000000027, 3]
  #15 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, 6]
    [0, 0, 0.99999997718097322, 3]
  #16 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_c.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -39]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, -42]
    [-0, 0, 1, 3]
  #17 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [0.99999999999999356, -1.1350809359100823E-07, 0, -15]
    [1.1350809359100823E-07, 0.99999999999999356, 0, 2]
    [0, 0, 1, 3]
  #18 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-0.99999999999999778, -1.0962442331674515E-07, 0, -55]
    [1.0962442331674515E-07, -0.99999999999999778, 0, 58]
    [0, 0, 1.000000000000004, 3]
  #19 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_48x48x01_a.cgf
    [1, 0, 0, -59]
    [0, 1, 0, 6]
    [0, 0, 1, 3]
  #20 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, 26]
    [0, 0, 0.99999997718097322, 3]
  #21 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-0.99999999999999867, 8.9816616366533602E-08, 0, -39]
    [-8.9816616366533602E-08, -0.99999999999999867, 0, 58]
    [0, 0, 1.0000000000000027, 3]
  #22 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -55]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, 2]
    [-0, 0, 1, 3]
  #23 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-1.3435885786000428E-07, 0.99999997718096412, 0, -63]
    [-0.99999997718096412, -1.3435885786000428E-07, -0, 10]
    [-0, 0, 0.99999997718097322, 3]
  #24 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, 10]
    [0, 0, 0.99999997718097322, 3]
  #25 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, 50]
    [0, 0, 0.99999997718097322, 3]
  #26 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_c.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -39]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, 2]
    [-0, 0, 1, 3]
  #27 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-0.99999999999999867, 8.9816616366533602E-08, 0, -15]
    [-8.9816616366533602E-08, -0.99999999999999867, 0, 58]
    [0, 0, 1.0000000000000027, 3]
  #28 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -31]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, 2]
    [-0, 0, 1, 3]
  #29 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [0.99999999999999356, -1.1350809359100823E-07, 0, -15]
    [1.1350809359100823E-07, 0.99999999999999356, 0, 2]
    [0, 0, 1, -1]
  #30 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-0.99999999999999778, -1.0962442331674515E-07, 0, -55]
    [1.0962442331674515E-07, -0.99999999999999778, 0, 58]
    [0, 0, 1.000000000000004, -1]
  #31 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_48x48x01_a.cgf
    [1, 0, 0, -59]
    [0, 1, 0, 6]
    [0, 0, 1, -1]
  #32 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, 26]
    [0, 0, 0.99999997718097322, -1]
  #33 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-0.99999999999999867, 8.9816616366533602E-08, 0, -39]
    [-8.9816616366533602E-08, -0.99999999999999867, 0, 58]
    [0, 0, 1.0000000000000027, -1]
  #34 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -55]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, 2]
    [-0, 0, 1, -1]
  #35 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-1.3435885786000428E-07, 0.99999997718096412, 0, -63]
    [-0.99999997718096412, -1.3435885786000428E-07, -0, 10]
    [-0, 0, 0.99999997718097322, -1]
  #36 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, 10]
    [0, 0, 0.99999997718097322, -1]
  #37 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, 50]
    [0, 0, 0.99999997718097322, -1]
  #38 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_c.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -39]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, 2]
    [-0, 0, 1, -1]
  #39 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-0.99999999999999867, 8.9816616366533602E-08, 0, -15]
    [-8.9816616366533602E-08, -0.99999999999999867, 0, 58]
    [0, 0, 1.0000000000000027, -1]
  #40 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -31]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, 2]
    [-0, 0, 1, -1]
  #41 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-1.3435885786000428E-07, 0.99999997718096412, 0, -63]
    [-0.99999997718096412, -1.3435885786000428E-07, -0, -34]
    [-0, 0, 0.99999997718097322, 3]
  #42 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -55]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, -42]
    [-0, 0, 1, 3]
  #43 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -31]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, -42]
    [-0, 0, 1, 3]
  #44 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [0.99999999999999356, -1.1350809359100823E-07, 0, -15]
    [1.1350809359100823E-07, 0.99999999999999356, 0, -42]
    [0, 0, 1, 3]
  #45 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_48x48x01_a.cgf
    [1, 0, 0, -59]
    [0, 1, 0, -38]
    [0, 0, 1, 3]
  #46 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [3.4228541033761434E-08, 1.0000000333767689, 0, -63]
    [-1.0000000333767689, 3.4228541033761434E-08, -0, -18]
    [-0, 0, 1.0000000333767693, -1]
  #47 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-0.99999999999999778, -1.0962442331674515E-07, 0, -55]
    [1.0962442331674515E-07, -0.99999999999999778, 0, 14]
    [0, 0, 1.000000000000004, -1]
  #48 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-1.3435885786000428E-07, 0.99999997718096412, 0, -63]
    [-0.99999997718096412, -1.3435885786000428E-07, -0, 6]
    [-0, 0, 0.99999997718097322, -1]
  #49 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [3.4228541033761434E-08, 1.0000000333767689, 0, -63]
    [-1.0000000333767689, 3.4228541033761434E-08, -0, 26]
    [-0, 0, 1.0000000333767693, 3]
  #50 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-1.3435885786000428E-07, 0.99999997718096412, 0, -63]
    [-0.99999997718096412, -1.3435885786000428E-07, -0, 50]
    [-0, 0, 0.99999997718097322, 3]
  #51 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [3.4228541033761434E-08, 1.0000000333767689, 0, -63]
    [-1.0000000333767689, 3.4228541033761434E-08, -0, 26]
    [-0, 0, 1.0000000333767693, -1]
  #52 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-1.3435885786000428E-07, 0.99999997718096412, 0, -63]
    [-0.99999997718096412, -1.3435885786000428E-07, -0, 50]
    [-0, 0, 0.99999997718097322, -1]
  #53 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [3.4228541033761434E-08, 1.0000000333767689, 0, -63]
    [-1.0000000333767689, 3.4228541033761434E-08, -0, -18]
    [-0, 0, 1.0000000333767693, 3]
  #54 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [-0.99999999999999778, -1.0962442331674515E-07, 0, -55]
    [1.0962442331674515E-07, -0.99999999999999778, 0, 14]
    [0, 0, 1.000000000000004, 3]
  #55 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-1.3435885786000428E-07, 0.99999997718096412, 0, -63]
    [-0.99999997718096412, -1.3435885786000428E-07, -0, 6]
    [-0, 0, 0.99999997718097322, 3]
