# IncludedObjects
# Cgfs: 13, Materials: 1, Palettes: 2, Placements: 26

[CGFs]
      0: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_anten_d.cgf
      1: objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_a.cgf
      2: objects/buildingsets/human/colonialism/col_a/ext/addons/foundations/col_a_ext_steel_formwork_2m_001.cgf
      3: objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_addn_b.cgf
      4: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_cover_b.cgf
      5: objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_broken_a.cgf
      6: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_fluff_a.cgf
      7: objects/buildingsets/human/colonialism/col_a/ext/addons/foundations/col_a_ext_brick_pallet_001.cgf
      8: objects/buildingsets/human/colonialism/col_a/ext/garage/col_garage_sml_a_ext_addon_canisters_a.cgf
      9: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_floorplate_metal_05x4m_a.cgf
     10: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_anten_b.cgf
     11: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_cover_a.cgf
     12: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_floorplate_metal_05x4m_b.cgf

[Materials]
      0: materials/decals/debris/debris

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/Generic/gen_white_darkgrey_blue<223>
      1: Libs/Foundry/Records/TintPalettes/brand/colonialism/col_default|walls_ext<333>

[Placements]
  #0 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_anten_d.cgf
    [-0.54811501502990723, 0, 0, -0.088213999999993575]
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, -1.9907640000000004]
    [-0, 0, 1.0000004267475153, 0]
  #7 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_cover_b.cgf
    [0.9902679219828382, 0, 0.13917414559727703, -0.81650500000000648]
    [0, 1.0000000000554703, 0, 4.7805129999999991]
    [-0.13917414559727703, 0, 0.9902679219828382, -0.11515]
  #8 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_broken_a.cgf
    [-6.4012100026111661E-07, -1.0000004267473106, 0, 0.0040500000000065484]
    [1.0000004267473106, -6.4012100026111661E-07, 0, 10.009236000000001]
    [0, 0, 1.0000004267475153, 0]
  #9 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_fluff_a.cgf
    [-1, 0, 0, -2.8451349999999991]
    [0, -1, 0, 9.5662650000000014]
    [0, 0, 1, -0.061150000000000003]
  #10 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_addn_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 6.0092359999999996]
    [-0, 0, 1.0000004267475153, 0]
  #11 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_fluff_a.cgf
    [1, 0, 0, 2.1160849999999982]
    [0, 1, 0, 2.6633440000000004]
    [0, 0, 1, -0.061150000000000003]
  #12 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_addn_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 2.0092359999999996]
    [-0, 0, 1.0000004267475153, 0]
  #13 objects/buildingsets/human/colonialism/col_a/ext/addons/foundations/col_a_ext_steel_formwork_2m_001.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, -0.003140000000001919]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, -7.6761870000000005]
    [-0, 0, 1.0000004267475153, -0.061150000000000003]
  #14 objects/buildingsets/human/colonialism/col_a/ext/addons/foundations/col_a_ext_brick_pallet_001.cgf
    [-1, 0, 0, 0.44777500000000714]
    [0, -1, 0, -14.508863999999999]
    [0, 0, 1, -0.061150000000000003]
  #15 objects/buildingsets/human/colonialism/col_a/ext/garage/col_garage_sml_a_ext_addon_canisters_a.cgf
    [-0.99560506278847238, -0.03456677290931711, 0.087036007415470962, -2.1261010000000056]
    [0.035096239105857567, -0.99937331862261103, 0.0045599837808922451, -11.715576]
    [0.086823858338677215, 0.0075945811005760913, 0.99619451383116953, 0]
  #16 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_a.cgf
    [-6.4012100026111661E-07, -1.0000004267473106, 0, 0.0040500000000065484]
    [1.0000004267473106, -6.4012100026111661E-07, 0, 6.0092359999999996]
    [0, 0, 1.0000004267475153, 0]
  #17 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_cover_b.cgf
    [0.9902679219828382, 0, 0.13917414559727703, -0.51977600000000734]
    [0, 1.0000000000554703, 0, 5.0396180000000008]
    [-0.13917414559727703, 0, 0.9902679219828382, -0.0071500000000000001]
  #18 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_addn_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, -5.9907640000000004]
    [-0, 0, 1.0000004267475153, 0]
  #19 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_a.cgf
    [-6.4012100026111661E-07, -1.0000004267473106, 0, 0.0040500000000065484]
    [1.0000004267473106, -6.4012100026111661E-07, 0, 2.0092359999999996]
    [0, 0, 1.0000004267475153, 0]
  #20 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_floorplate_metal_05x4m_a.cgf
    [1, 0, 0, -1.417082999999991]
    [0, 1, 0, -10.157368999999999]
    [0, 0, 1, -0.061150000000000003]
  #21 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_addn_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, -9.9907640000000004]
    [-0, 0, 1.0000004267475153, 0]
  #22 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_anten_b.cgf
    [-0.99560506278847238, -0.03456677290931711, 0.087036007415470962, -0.62610100000000557]
    [0.035096239105857567, -0.99937331862261103, 0.0045599837808922451, -9.9006869999999996]
    [0.086823858338677215, 0.0075945811005760913, 0.99619451383116953, 0]
  #23 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_cover_a.cgf
    [-1, 0, 0, -2.8875400000000013]
    [0, -1, 0, 10.832311000000001]
    [0, 0, 1, 0.0013500000000000001]
  #24 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_floorplate_metal_05x4m_b.cgf
    [1, 0, 0, -0.5580539999999985]
    [0, 1, 0, 7.0536330000000014]
    [0, 0, 1, -0.098709000000000005]
  #25 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_broken_a.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, -9.9907640000000004]
    [-0, 0, 1.0000004267475153, 0]
